  3770  3376 7.1243e+09  230 32283 7.1561e+09 7.1243e+09  0.44%   237 3886s
  3771  3377 7.1252e+09  528 31046 7.1561e+09 7.1252e+09  0.43%   237 3896s
  3772  3378 7.1257e+09  565 29754 7.1561e+09 7.1257e+09  0.42%   237 3905s
  3773  3378 7.1262e+09  445 29402 7.1561e+09 7.1262e+09  0.42%   237 3910s
  3774  3379 7.1263e+09  586 29830 7.1561e+09 7.1263e+09  0.42%   237 3916s
  3775  3380 7.1263e+09  559 31093 7.1561e+09 7.1263e+09  0.42%   237 3923s
  3776  3380 7.1264e+09  866 32140 7.1561e+09 7.1264e+09  0.42%   237 3928s
  3777  3381 7.1265e+09  670 32145 7.1561e+09 7.1265e+09  0.41%   237 3935s
  3778  3382 7.1271e+09  845 31545 7.1561e+09 7.1271e+09  0.41%   237 3943s
  3779  3382 7.1274e+09  215 31514 7.1561e+09 7.1274e+09  0.40%   237 3950s
  3780  3383 7.1278e+09  109 31420 7.1561e+09 7.1278e+09  0.40%   237 3959s
  3781  3384 7.1279e+09  184 31635 7.1561e+09 7.1279e+09  0.39%   237 3964s
  3782  3384 7.1280e+09  644 32253 7.1561e+09 7.1280e+09  0.39%   237 3972s
  3783  3385 7.1280e+09  124 32332 7.1561e+09 7.1280e+09  0.39%   237 3975s
  3784  3386 7.1280e+09  155 32411 7.1561e+09 7.1280e+09  0.39%   237 3996s
  3785  3386 7.1280e+09  228 32788 7.1561e+09 7.1280e+09  0.39%   236 4037s
  3786  3387 7.1281e+09  894 32757 7.1561e+09 7.1281e+09  0.39%   236 4044s
  3787  3388 7.1281e+09  506 32800 7.1561e+09 7.1281e+09  0.39%   236 4053s
  3788  3388 7.1282e+09  933 32757 7.1561e+09 7.1282e+09  0.39%   236 4062s
  3789  3389 7.1283e+09  720 32432 7.1561e+09 7.1283e+09  0.39%   236 4070s
  3790  3390 7.1285e+09  919 31799 7.1561e+09 7.1285e+09  0.39%   236 4080s
  3791  3390 7.1289e+09  709 33286 7.1561e+09 7.1289e+09  0.38%   236 4088s
  3792  3391 7.1290e+09 1004 33626 7.1561e+09 7.1290e+09  0.38%   236 4094s
  3793  3392 7.1293e+09  906 34197 7.1561e+09 7.1293e+09  0.37%   236 4099s
  3794  3392 7.1295e+09  339 34107 7.1561e+09 7.1295e+09  0.37%   236 4105s
  3795  3393 7.1297e+09  779 34114 7.1561e+09 7.1297e+09  0.37%   236 4111s
  3796  3394 7.1297e+09 1091 34403 7.1561e+09 7.1297e+09  0.37%   236 4116s
  3797  3394 7.1298e+09  717 35003 7.1561e+09 7.1298e+09  0.37%   236 4122s
  3798  3395 7.1298e+09  264 35393 7.1561e+09 7.1298e+09  0.37%   236 4129s
  3799  3396 7.1298e+09  653 35733 7.1561e+09 7.1298e+09  0.37%   236 4136s
  3800  3396 7.1299e+09   55 35850 7.1561e+09 7.1299e+09  0.37%   236 4145s
  3801  3397 7.1301e+09   95 35902 7.1561e+09 7.1301e+09  0.36%   235 4153s
  3802  3398 7.1301e+09  506 36112 7.1561e+09 7.1301e+09  0.36%   235 4161s
  3803  3398 7.1302e+09  190 36399 7.1561e+09 7.1302e+09  0.36%   235 4168s
  3804  3399 7.1303e+09  457 36753 7.1561e+09 7.1303e+09  0.36%   235 4174s
  3805  3400 7.1305e+09  188 36864 7.1561e+09 7.1305e+09  0.36%   235 4180s
  3807  3401 7.1307e+09  157 37213 7.1561e+09 7.1307e+09  0.36%   235 4190s
  3808  3402 7.1307e+09  280 37588 7.1561e+09 7.1307e+09  0.35%   235 4197s
  3809  3402 7.1308e+09  927 37885 7.1561e+09 7.1308e+09  0.35%   235 4204s
  3810  3403 7.1308e+09  357 38285 7.1561e+09 7.1308e+09  0.35%   235 4210s
  3811  3404 7.1308e+09  680 38386 7.1561e+09 7.1308e+09  0.35%   235 4236s
  3812  3404 7.1308e+09  442 38802 7.1561e+09 7.1308e+09  0.35%   235 4286s
  3813  3405 7.1309e+09  610 38796 7.1561e+09 7.1309e+09  0.35%   235 4296s
  3814  3406 7.1310e+09  184 38357 7.1561e+09 7.1310e+09  0.35%   235 4306s
  3815  3406 7.1310e+09  541 38339 7.1561e+09 7.1310e+09  0.35%   235 4314s
  3816  3407 7.1311e+09  689 38294 7.1561e+09 7.1311e+09  0.35%   235 4325s
  3817  3408 7.1312e+09  864 38796 7.1561e+09 7.1312e+09  0.35%   234 4338s
  3818  3408 7.1313e+09  644 38908 7.1561e+09 7.1313e+09  0.35%   234 4349s
  3819  3409 7.1315e+09  797 38750 7.1561e+09 7.1315e+09  0.34%   234 4360s
  3820  3410 7.1316e+09  486 38484 7.1561e+09 7.1316e+09  0.34%   234 4367s
  3821  3410 7.1318e+09  825 38071 7.1561e+09 7.1318e+09  0.34%   234 4376s
  3822  3411 7.1319e+09  905 37552 7.1561e+09 7.1319e+09  0.34%   234 4386s
  3823  3412 7.1319e+09  510 37082 7.1561e+09 7.1319e+09  0.34%   234 4394s
  3824  3412 7.1320e+09  253 36872 7.1561e+09 7.1320e+09  0.34%   234 4401s
  3825  3413 7.1320e+09  851 36789 7.1561e+09 7.1320e+09  0.34%   234 4406s
  3826  3414 7.1320e+09  308 37058 7.1561e+09 7.1320e+09  0.34%   234 4417s
  3827  3414 7.1321e+09  110 37467 7.1561e+09 7.1321e+09  0.34%   234 4425s
  3828  3415 7.1321e+09  455 37658 7.1561e+09 7.1321e+09  0.34%   234 4432s
  3829  3416 7.1321e+09   67 38092 7.1561e+09 7.1321e+09  0.33%   234 4443s
  3830  3416 7.1322e+09  157 38512 7.1561e+09 7.1322e+09  0.33%   234 4458s
  3831  3417 7.1323e+09  117 38662 7.1561e+09 7.1323e+09  0.33%   234 4467s
  3832  3418 7.1323e+09  135 38820 7.1561e+09 7.1323e+09  0.33%   234 4477s
  3833  3418 7.1324e+09 1005 38921 7.1561e+09 7.1324e+09  0.33%   234 4488s
  3834  3419 7.1325e+09  551 39160 7.1561e+09 7.1325e+09  0.33%   233 4496s
  3835  3420 7.1326e+09  563 39220 7.1561e+09 7.1326e+09  0.33%   233 4505s
  3836  3420 7.1327e+09  918 39267 7.1561e+09 7.1327e+09  0.33%   233 4515s
  3837  3421 7.1328e+09  489 39323 7.1561e+09 7.1328e+09  0.33%   233 4526s
  3838  3422 7.1328e+09  796 39477 7.1561e+09 7.1328e+09  0.33%   233 4534s
  3839  3422 7.1328e+09   35 39605 7.1561e+09 7.1328e+09  0.32%   233 4543s
  3840  3423 7.1329e+09   76 39917 7.1561e+09 7.1329e+09  0.32%   233 4551s
  3841  3424 7.1329e+09  865 40169 7.1561e+09 7.1329e+09  0.32%   233 4557s
  3842  3424 7.1329e+09  636 40355 7.1561e+09 7.1329e+09  0.32%   233 4567s
  3843  3425 7.1330e+09  207 40708 7.1561e+09 7.1330e+09  0.32%   233 4577s
  3844  3426 7.1330e+09  472 40987 7.1561e+09 7.1330e+09  0.32%   233 4585s
  3845  3426 7.1330e+09  197 41215 7.1561e+09 7.1330e+09  0.32%   233 4619s
  3846  3427 7.1332e+09 1045 41146 7.1561e+09 7.1332e+09  0.32%   233 4668s
  3847  3428 7.1332e+09  729 41320 7.1561e+09 7.1332e+09  0.32%   233 4676s
  3848  3428 7.1332e+09  276 41424 7.1561e+09 7.1332e+09  0.32%   233 4682s
  3849  3429 7.1332e+09  855 41497 7.1561e+09 7.1332e+09  0.32%   233 4712s
  3850  3430 7.1336e+09   24 40474 7.1561e+09 7.1336e+09  0.31%   232 4784s
  3851  3430 7.1338e+09  185 40015 7.1561e+09 7.1338e+09  0.31%   232 4801s
  3852  3431 7.1339e+09    4 39798 7.1561e+09 7.1339e+09  0.31%   232 4818s
  3853  3432 7.1340e+09  871 39515 7.1561e+09 7.1340e+09  0.31%   232 4836s
  3854  3432 7.1340e+09  364 39448 7.1561e+09 7.1340e+09  0.31%   232 4853s
  3855  3433 7.1341e+09   86 39517 7.1561e+09 7.1341e+09  0.31%   232 4870s
  3856  3434 7.1342e+09  791 39360 7.1561e+09 7.1342e+09  0.31%   232 4882s
  3857  3434 7.1343e+09  650 39062 7.1561e+09 7.1343e+09  0.30%   232 4894s
  3858  3435 7.1344e+09  234 38391 7.1561e+09 7.1344e+09  0.30%   232 4906s
  3859  3436 7.1345e+09  117 37777 7.1561e+09 7.1345e+09  0.30%   232 4921s
  3860  3436 7.1345e+09   18 37352 7.1561e+09 7.1345e+09  0.30%   232 4935s
  3861  3437 7.1346e+09  260 36993 7.1561e+09 7.1346e+09  0.30%   232 4947s
  3862  3438 7.1346e+09  229 36799 7.1561e+09 7.1346e+09  0.30%   232 4959s
  3863  3438 7.1346e+09  182 36529 7.1561e+09 7.1346e+09  0.30%   232 4971s
  3864  3439 7.1347e+09  587 36585 7.1561e+09 7.1347e+09  0.30%   232 4982s
  3865  3440 7.1347e+09  200 36828 7.1561e+09 7.1347e+09  0.30%   232 4995s
  3866  3440 7.1347e+09 1009 37132 7.1561e+09 7.1347e+09  0.30%   232 5008s
  3867  3441 7.1347e+09  137 37572 7.1561e+09 7.1347e+09  0.30%   231 5022s
  3868  3442 7.1347e+09  218 37574 7.1561e+09 7.1347e+09  0.30%   231 5036s
  3869  3442 7.1348e+09  374 37769 7.1561e+09 7.1348e+09  0.30%   231 5047s
  3870  3443 7.1349e+09  230 37869 7.1561e+09 7.1349e+09  0.30%   231 5061s
  3871  3444 7.1349e+09  528 38030 7.1561e+09 7.1349e+09  0.30%   231 5078s
  3872  3444 7.1350e+09  565 37969 7.1561e+09 7.1350e+09  0.29%   231 5091s
  3873  3445 7.1350e+09  445 37981 7.1561e+09 7.1350e+09  0.29%   231 5110s
  3874  3446 7.1351e+09  586 38128 7.1561e+09 7.1351e+09  0.29%   231 5122s
  3875  3446 7.1351e+09  559 37942 7.1561e+09 7.1351e+09  0.29%   231 5141s
  3876  3447 7.1352e+09  866 38116 7.1561e+09 7.1352e+09  0.29%   231 5156s
  3877  3448 7.1352e+09  670 38365 7.1561e+09 7.1352e+09  0.29%   231 5167s
  3878  3448 7.1352e+09  845 38382 7.1561e+09 7.1352e+09  0.29%   231 5180s
  3879  3449 7.1353e+09  215 38628 7.1561e+09 7.1353e+09  0.29%   231 5190s
  3880  3450 7.1353e+09  109 38683 7.1561e+09 7.1353e+09  0.29%   231 5199s
  3881  3450 7.1353e+09  184 39008 7.1561e+09 7.1353e+09  0.29%   231 5212s
  3882  3451 7.1353e+09  644 39378 7.1561e+09 7.1353e+09  0.29%   231 5224s
  3883  3452 7.1353e+09  124 39591 7.1561e+09 7.1353e+09  0.29%   231 5233s
  3884  3452 7.1353e+09  155 39983 7.1561e+09 7.1353e+09  0.29%   230 5243s
  3885  3453 7.1353e+09  228 40298 7.1561e+09 7.1353e+09  0.29%   230 5281s
  3886  3454 7.1358e+09  894 39130 7.1561e+09 7.1358e+09  0.28%   230 5357s
  3887  3454 7.1358e+09  506 39326 7.1561e+09 7.1358e+09  0.28%   230 5376s
  3888  3455 7.1358e+09  933 39786 7.1561e+09 7.1358e+09  0.28%   230 5387s
  3889  3456 7.1358e+09  720 39947 7.1561e+09 7.1358e+09  0.28%   230 5420s
H 3889  3280                    7.152271e+09 7.1361e+09  0.23%   230 6981s
  3891  3281 7.1362e+09  709 38530 7.1523e+09 7.1362e+09  0.22%   230 7025s
  3892  3282 7.1363e+09 1004 38430 7.1523e+09 7.1363e+09  0.22%   230 7060s
  3893  3282 7.1363e+09  906 38449 7.1523e+09 7.1363e+09  0.22%   230 7083s
